# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-344.39882991	0.02036739
-344.36547350	0.02617245
-344.33211709	0.03761936
-344.29876068	0.05295715
-344.26540427	0.06820503
-344.23204786	0.08074098
-344.19869145	0.08793342
-344.16533504	0.08999938
-344.13197863	0.08782466
-344.09862222	0.08337749
-344.06526581	0.07871609
-344.03190940	0.07510140
-343.99855299	0.07338692
-343.96519658	0.07216643
-343.93184017	0.06925218
-343.89848376	0.06157984
-343.86512735	0.04736513
-343.83177094	0.02659336
-343.79841454	0.00195743
-343.76505813	-0.02312552
-343.73170172	-0.04314420
-343.69834531	-0.05651013
-343.66498890	-0.06368545
-343.63163249	-0.06958865
-343.59827608	-0.07898296
-343.56491967	-0.09645212
-343.53156326	-0.12284445
-343.49820685	-0.15673298
-343.46485044	-0.19077797
-343.43149403	-0.21868830
-343.39813762	-0.23350071
-343.36478121	-0.23356043
-343.33142480	-0.21906586
-343.29806839	-0.19130691
-343.26471198	-0.15318904
-343.23135557	-0.10465989
-343.19799916	-0.04832701
-343.16464275	0.01699315
-343.13128634	0.08620389
-343.09792994	0.15932798
-343.06457353	0.23041931
-343.03121712	0.29594055
-342.99786071	0.34889708
-342.96450430	0.38520464
-342.93114789	0.39975037
-342.89779148	0.38984155
-342.86443507	0.35602489
-342.83107866	0.29840612
-342.79772225	0.21995849
-342.76436584	0.12177333
-342.73100943	0.01231010
-342.69765302	-0.10262901
-342.66429661	-0.20879074
-342.63094020	-0.29882142
-342.59758379	-0.35978787
-342.56422738	-0.38995238
-342.53087097	-0.38819888
-342.49751456	-0.35630720
-342.46415815	-0.29893663
-342.43080174	-0.22037297
-342.39744534	-0.12897043
-342.36408893	-0.02752963
-342.33073252	0.07187278
-342.29737611	0.16508337
-342.26401970	0.24337404
-342.23066329	0.30223299
-342.19730688	0.33395087
-342.16395047	0.33668959
-342.13059406	0.31120447
-342.09723765	0.26082729
-342.06388124	0.19431515
-342.03052483	0.11802382
-341.99716842	0.03989333
-341.96381201	-0.03695750
-341.93045560	-0.10442537
-341.89709919	-0.15985003
-341.86374278	-0.19900804
-341.83038637	-0.22093099
-341.79702996	-0.22432583
-341.76367355	-0.21163490
-341.73031714	-0.18634027
-341.69696074	-0.15153097
-341.66360433	-0.11335359
-341.63024792	-0.07569213
-341.59689151	-0.04370683
-341.56353510	-0.01915097
-341.53017869	-0.00591343
-341.49682228	-0.00270231
-341.46346587	-0.00654638
-341.43010946	-0.01218057
-341.39675305	-0.01312964
-341.36339664	-0.00411722
-341.33004023	0.01737262
-341.29668382	0.05206051
-341.26332741	0.09338490
-341.22997100	0.13490995
-341.19661459	0.16927317
-341.16325818	0.19101211
-341.12990177	0.19468175
-341.09654536	0.17963857
-341.06318895	0.14815868
-341.02983255	0.10168121
-340.99647614	0.04700228
-340.96311973	-0.01278825
-340.92976332	-0.07345335
-340.89640691	-0.13260637
-340.86305050	-0.18218462
-340.82969409	-0.21767663
-340.79633768	-0.23426891
-340.76298127	-0.22843433
-340.72962486	-0.19846118
-340.69626845	-0.14586084
-340.66291204	-0.07470990
-340.62955563	0.01295822
-340.59619922	0.10545732
-340.56284281	0.19498734
-340.52948640	0.27190936
-340.49612999	0.33097634
-340.46277358	0.36021058
-340.42941717	0.35688664
-340.39606076	0.32170097
-340.36270435	0.25641366
-340.32934795	0.17303790
-340.29599154	0.08365019
-340.26263513	0.00050939
-340.22927872	-0.07080871
-340.19592231	-0.12029387
-340.16256590	-0.14852540
-340.12920949	-0.15923293
-340.09585308	-0.15801357
-340.06249667	-0.15207497
-340.02914026	-0.14959844
-339.99578385	-0.15602881
-339.96242744	-0.17459078
-339.92907103	-0.20214325
-339.89571462	-0.23342432
-339.86235821	-0.26084039
-339.82900180	-0.27882931
-339.79564539	-0.27996941
-339.76228898	-0.26219209
-339.72893257	-0.22584901
-339.69557616	-0.17012527
-339.66221975	-0.10255526
-339.62886335	-0.02765410
-339.59550694	0.05044555
-339.56215053	0.13169309
-339.52879412	0.20797372
-339.49543771	0.27566033
-339.46208130	0.33014647
-339.42872489	0.36774731
-339.39536848	0.37968943
-339.36201207	0.36372834
-339.32865566	0.31991737
-339.29529925	0.24774682
-339.26194284	0.15697754
-339.22858643	0.05706265
-339.19523002	-0.04246762
-339.16187361	-0.13871696
-339.12851720	-0.21745830
-339.09516079	-0.27578959
-339.06180438	-0.31073873
-339.02844797	-0.31983768
-338.99509156	-0.29929492
-338.96173515	-0.24947003
-338.92837875	-0.17258699
-338.89502234	-0.06732940
-338.86166593	0.05065072
-338.82830952	0.17028401
-338.79495311	0.27920106
-338.76159670	0.36870730
-338.72824029	0.42201365
-338.69488388	0.43570892
-338.66152747	0.41222815
-338.62817106	0.35349768
-338.59481465	0.27257698
-338.56145824	0.18027161
-338.52810183	0.08537750
-338.49474542	-0.00921447
-338.46138901	-0.09258139
-338.42803260	-0.16304990
-338.39467619	-0.22037734
-338.36131978	-0.26856982
-338.32796337	-0.30457372
-338.29460696	-0.33100635
-338.26125055	-0.34884093
-338.22789415	-0.35701559
-338.19453774	-0.35245143
-338.16118133	-0.33221826
-338.12782492	-0.29504830
-338.09446851	-0.23728684
-338.06111210	-0.16487426
-338.02775569	-0.08311321
-337.99439928	0.00231406
-337.96104287	0.08897550
-337.92768646	0.16521697
-337.89433005	0.22772627
-337.86097364	0.27396315
-337.82761723	0.30386473
-337.79426082	0.31271508
-337.76090441	0.30122638
-337.72754800	0.27095729
-337.69419159	0.22274879
-337.66083518	0.16559981
-337.62747877	0.10738484
