# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-329.55522767	-0.08181559
-329.52187126	-0.07470908
-329.48851485	-0.06732548
-329.45515844	-0.05997588
-329.42180203	-0.05229741
-329.38844562	-0.04431657
-329.35508921	-0.03606710
-329.32173280	-0.02796176
-329.28837639	-0.02015879
-329.25501998	-0.01344148
-329.22166358	-0.00761404
-329.18830717	-0.00248520
-329.15495076	0.00214352
-329.12159435	0.00661225
-329.08823794	0.01114262
-329.05488153	0.01574470
-329.02152512	0.02035032
-328.98816871	0.02437471
-328.95481230	0.02817590
-328.92145589	0.03176533
-328.88809948	0.03525106
-328.85474307	0.03847350
-328.82138666	0.04126757
-328.78803025	0.04333974
-328.75467384	0.04423757
-328.72131743	0.04404741
-328.68796102	0.04295643
-328.65460461	0.04108631
-328.62124820	0.03883808
-328.58789179	0.03651162
-328.55453538	0.03416021
-328.52117898	0.03167803
-328.48782257	0.02887621
-328.45446616	0.02590711
-328.42110975	0.02266497
-328.38775334	0.01986703
-328.35439693	0.01782707
-328.32104052	0.01641989
-328.28768411	0.01581661
-328.25432770	0.01547146
-328.22097129	0.01520649
-328.18761488	0.01429240
-328.15425847	0.01278192
-328.12090206	0.01049642
-328.08754565	0.00777282
-328.05418924	0.00503606
-328.02083283	0.00275737
-327.98747642	0.00125239
-327.95412001	0.00077079
-327.92076360	0.00124524
-327.88740719	0.00266809
-327.85405078	0.00476870
-327.82069438	0.00726460
-327.78733797	0.01011950
-327.75398156	0.01348907
-327.72062515	0.01684105
-327.68726874	0.02044852
-327.65391233	0.02331556
-327.62055592	0.02534339
-327.58719951	0.02619263
-327.55384310	0.02606975
-327.52048669	0.02515099
-327.48713028	0.02384049
-327.45377387	0.02248617
-327.42041746	0.02098719
-327.38706105	0.01959225
-327.35370464	0.01781596
-327.32034823	0.01586266
-327.28699182	0.01363361
-327.25363541	0.01146210
-327.22027900	0.00962933
-327.18692259	0.00820514
-327.15356618	0.00717359
-327.12020978	0.00651702
-327.08685337	0.00624121
-327.05349696	0.00621930
-327.02014055	0.00671349
-326.98678414	0.00765330
-326.95342773	0.00909710
-326.92007132	0.01079876
-326.88671491	0.01260287
-326.85335850	0.01406026
-326.82000209	0.01514308
-326.78664568	0.01554735
-326.75328927	0.01547841
-326.71993286	0.01491396
-326.68657645	0.01403479
-326.65322004	0.01277190
-326.61986363	0.01079204
-326.58650722	0.00808749
-326.55315081	0.00466730
-326.51979440	0.00104880
-326.48643799	-0.00218170
-326.45308158	-0.00451327
-326.41972518	-0.00534470
-326.38636877	-0.00483656
-326.35301236	-0.00303330
-326.31965595	-0.00101342
-326.28629954	0.00075857
-326.25294313	0.00186651
-326.21958672	0.00218429
-326.18623031	0.00197252
-326.15287390	0.00172867
-326.11951749	0.00199006
-326.08616108	0.00291709
-326.05280467	0.00493692
-326.01944826	0.00742414
-325.98609185	0.01047305
-325.95273544	0.01367166
-325.91937903	0.01661548
-325.88602262	0.01900898
-325.85266621	0.02035145
-325.81930980	0.02048720
-325.78595339	0.01939317
-325.75259698	0.01766367
-325.71924058	0.01559226
-325.68588417	0.01357413
-325.65252776	0.01219901
-325.61917135	0.01142746
-325.58581494	0.01094525
-325.55245853	0.01079633
-325.51910212	0.01086715
-325.48574571	0.01033165
-325.45238930	0.00930805
-325.41903289	0.00780941
-325.38567648	0.00585094
-325.35232007	0.00362251
-325.31896366	0.00153525
-325.28560725	0.00000962
-325.25225084	-0.00093032
-325.21889443	-0.00106647
-325.18553802	-0.00073907
-325.15218161	-0.00030628
-325.11882520	0.00017243
-325.08546879	-0.00008644
-325.05211239	-0.00099234
-325.01875598	-0.00277399
-324.98539957	-0.00489662
-324.95204316	-0.00750095
-324.91868675	-0.00993304
-324.88533034	-0.01213690
-324.85197393	-0.01390020
-324.81861752	-0.01508578
-324.78526111	-0.01528114
-324.75190470	-0.01461905
-324.71854829	-0.01312114
-324.68519188	-0.01114154
-324.65183547	-0.00862682
-324.61847906	-0.00563528
-324.58512265	-0.00259638
-324.55176624	0.00040397
-324.51840983	0.00313674
-324.48505342	0.00531929
-324.45169701	0.00642055
-324.41834060	0.00657091
-324.38498419	0.00604873
-324.35162779	0.00501789
-324.31827138	0.00383994
-324.28491497	0.00294614
-324.25155856	0.00224665
-324.21820215	0.00198130
-324.18484574	0.00184808
-324.15148933	0.00158083
-324.11813292	0.00131817
-324.08477651	0.00057577
-324.05142010	-0.00033387
-324.01806369	-0.00118028
-323.98470728	-0.00159822
-323.95135087	-0.00105960
-323.91799446	0.00032070
-323.88463805	0.00234888
-323.85128164	0.00482467
-323.81792523	0.00721426
-323.78456882	0.00938787
-323.75121241	0.01095875
-323.71785600	0.01198201
-323.68449959	0.01269168
-323.65114319	0.01302130
-323.61778678	0.01280939
-323.58443037	0.01252149
-323.55107396	0.01224771
-323.51771755	0.01201462
-323.48436114	0.01230979
-323.45100473	0.01338091
-323.41764832	0.01553208
-323.38429191	0.01878018
