# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-357.20769116	-0.01009817
-357.17433475	-0.00652074
-357.14097834	-0.00306224
-357.10762193	0.00086787
-357.07426552	0.00521975
-357.04090911	0.01063646
-357.00755271	0.01694761
-356.97419630	0.02428375
-356.94083989	0.03230844
-356.90748348	0.04123060
-356.87412707	0.05053844
-356.84077066	0.06002887
-356.80741425	0.06927370
-356.77405784	0.07838189
-356.74070143	0.08675115
-356.70734502	0.09448319
-356.67398861	0.10113207
-356.64063220	0.10694838
-356.60727579	0.11216169
-356.57391938	0.11691122
-356.54056297	0.12149574
-356.50720656	0.12648577
-356.47385015	0.13230113
-356.44049374	0.13935088
-356.40713733	0.14834600
-356.37378092	0.15958528
-356.34042451	0.17355181
-356.30706811	0.19062529
-356.27371170	0.21018700
-356.24035529	0.23331870
-356.20699888	0.25878464
-356.17364247	0.28682303
-356.14028606	0.31722334
-356.10692965	0.35014552
-356.07357324	0.38453056
-356.04021683	0.42101227
-356.00686042	0.45818663
-355.97350401	0.49746637
-355.94014760	0.53679043
-355.90679119	0.57681492
-355.87343478	0.61548163
-355.84007837	0.65162210
-355.80672196	0.68114878
-355.77336555	0.69990370
-355.74000914	0.70081402
-355.70665273	0.67425797
-355.67329632	0.60919716
-355.63993991	0.48834998
-355.60658351	0.29729739
-355.57322710	0.01258719
-355.53987069	-0.37445204
-355.50651428	-0.88537388
-355.47315787	-1.50234272
-355.43980146	-2.23622245
-355.40644505	-3.02764025
-355.37308864	-3.85421526
-355.33973223	-4.62736066
-355.30637582	-5.28893006
-355.27301941	-5.74155740
-355.23966300	-5.92276057
-355.20630659	-5.77236652
-355.17295018	-5.25596110
-355.13959377	-4.40423156
-355.10623736	-3.24277403
-355.07288095	-1.89043884
-355.03952454	-0.42884529
-355.00616813	0.99017426
-354.97281172	2.29997940
-354.93945531	3.37916674
-354.90609891	4.22326042
-354.87274250	4.79229617
-354.83938609	5.12065704
-354.80602968	5.22236223
-354.77267327	5.13134436
-354.73931686	4.87873257
-354.70596045	4.48446440
-354.67260404	3.99477048
-354.63924763	3.43159620
-354.60589122	2.85688706
-354.57253481	2.29093162
-354.53917840	1.78600589
-354.50582199	1.34710868
-354.47246558	0.98597945
-354.43910917	0.68217713
-354.40575276	0.43357809
-354.37239635	0.22105681
-354.33903994	0.04692202
-354.30568353	-0.09382883
-354.27232712	-0.19448867
-354.23897071	-0.25966804
-354.20561431	-0.29633723
-354.17225790	-0.31833009
-354.13890149	-0.33788922
-354.10554508	-0.36508793
-354.07218867	-0.40215551
-354.03883226	-0.44783845
-354.00547585	-0.49375120
-353.97211944	-0.53353296
-353.93876303	-0.56062020
-353.90540662	-0.57222032
-353.87205021	-0.56655142
-353.83869380	-0.54378375
-353.80533739	-0.50631182
-353.77198098	-0.45446000
-353.73862457	-0.39323121
-353.70526816	-0.32532567
-353.67191175	-0.25672839
-353.63855534	-0.19103209
-353.60519893	-0.13578808
-353.57184252	-0.09329461
-353.53848611	-0.06575874
-353.50512971	-0.05124179
-353.47177330	-0.04761800
-353.43841689	-0.05157606
-353.40506048	-0.06055605
-353.37170407	-0.07291705
-353.33834766	-0.08591734
-353.30499125	-0.09735001
-353.27163484	-0.10466911
-353.23827843	-0.10645839
-353.20492202	-0.10311860
-353.17156561	-0.09676650
-353.13820920	-0.08949298
-353.10485279	-0.08247984
-353.07149638	-0.07672330
-353.03813997	-0.07235417
-353.00478356	-0.07005143
-352.97142715	-0.06992807
-352.93807074	-0.07206756
-352.90471433	-0.07592345
-352.87135792	-0.08128876
-352.83800152	-0.08802910
-352.80464511	-0.09547286
-352.77128870	-0.10335884
