# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-354.57253481	0.05785316
-354.53917840	0.04635780
-354.50582199	0.03551811
-354.47246558	0.02670614
-354.43910917	0.02005969
-354.40575276	0.01608253
-354.37239635	0.01467707
-354.33903994	0.01535153
-354.30568353	0.01782222
-354.27232712	0.02167378
-354.23897071	0.02608225
-354.20561431	0.03012765
-354.17225790	0.03328037
-354.13890149	0.03429138
-354.10554508	0.03229119
-354.07218867	0.02654243
-354.03883226	0.01648574
-354.00547585	0.00247504
-353.97211944	-0.01257092
-353.93876303	-0.02632783
-353.90540662	-0.03783795
-353.87205021	-0.04615415
-353.83869380	-0.05125580
-353.80533739	-0.05421353
-353.77198098	-0.05589091
-353.73862457	-0.05675799
-353.70526816	-0.05670116
-353.67191175	-0.05607713
-353.63855534	-0.05479197
-353.60519893	-0.05328208
-353.57184252	-0.05222370
-353.53848611	-0.05143613
-353.50512971	-0.05105104
-353.47177330	-0.05051902
-353.43841689	-0.04884903
-353.40506048	-0.04587696
-353.37170407	-0.04138830
-353.33834766	-0.03557648
-353.30499125	-0.02916083
-353.27163484	-0.02241619
-353.23827843	-0.01558862
-353.20492202	-0.00918582
-353.17156561	-0.00309985
-353.13820920	0.00291800
-353.10485279	0.00997276
-353.07149638	0.01830826
-353.03813997	0.02755363
-353.00478356	0.03719465
-352.97142715	0.04628518
-352.93807074	0.05295746
-352.90471433	0.05595118
-352.87135792	0.05542159
-352.83800152	0.05213928
-352.80464511	0.04732039
-352.77128870	0.04190219
-352.73793229	0.03677468
-352.70457588	0.03210261
-352.67121947	0.02850469
-352.63786306	0.02623414
-352.60450665	0.02568524
-352.57115024	0.02710641
-352.53779383	0.03019067
-352.50443742	0.03478331
-352.47108101	0.03954023
-352.43772460	0.04426970
-352.40436819	0.04783332
-352.37101178	0.05024810
-352.33765537	0.05191466
-352.30429896	0.05312451
-352.27094255	0.05363230
-352.23758614	0.05306002
-352.20422973	0.05126977
-352.17087332	0.04846594
-352.13751692	0.04493536
-352.10416051	0.04161895
-352.07080410	0.03883188
-352.03744769	0.03659948
-352.00409128	0.03489354
-351.97073487	0.03366795
-351.93737846	0.03291303
-351.90402205	0.03302256
-351.87066564	0.03364842
-351.83730923	0.03447426
-351.80395282	0.03530901
-351.77059641	0.03595001
-351.73724000	0.03623949
-351.70388359	0.03640681
-351.67052718	0.03600564
-351.63717077	0.03487713
-351.60381436	0.03295478
-351.57045795	0.03021701
-351.53710154	0.02755376
-351.50374513	0.02527243
-351.47038872	0.02382766
-351.43703232	0.02304250
-351.40367591	0.02317786
-351.37031950	0.02435403
-351.33696309	0.02664273
-351.30360668	0.03020002
-351.27025027	0.03450441
-351.23689386	0.03889771
-351.20353745	0.04298495
-351.17018104	0.04611936
-351.13682463	0.04808874
-351.10346822	0.04903282
-351.07011181	0.04885638
-351.03675540	0.04791262
-351.00339899	0.04621323
-350.97004258	0.04320045
-350.93668617	0.03887767
-350.90332976	0.03285204
-350.86997335	0.02597458
-350.83661694	0.01863221
-350.80326053	0.01214683
-350.76990412	0.00735020
-350.73654772	0.00498341
